Name,Rarity,Category,Subcategory,Level,Price,Bulk
Club,Common,Weapons,Base Weapons,0,,1
Exquisite Sword Cane Sheath,Common,Weapons,Base Weapons,0,,L
Sling,Common,Weapons,Base Weapons,0,,L
Staff,Common,Weapons,Base Weapons,0,,1
Alcohol,Common,Alchemical Items,Drugs,0,1 cp (or more),L
Beverages (Mug of Ale),Common,Services,,0,1 cp,L
Black Powder (Dose or Round),Uncommon,Alchemical Items,Alchemical Ammunition,0,1 cp,
Candle,Common,Adventuring Gear,,0,1 cp,
Chalk,Common,Adventuring Gear,,0,1 cp ((10 pieces)),
Clay,Common,Adventuring Gear,,0,1 cp,
Cloth (Wool Cloth 1 square yard),Common,Trade Goods,,0,1 cp,
Dart,Common,Weapons,Base Weapons,0,1 cp,L
Feed (Standard),Common,Animals and Gear,Animal Caretaking Gear,0,1 cp (1 week),
Lumber,Common,Trade Goods,,0,1 cp (per 40 board feet),
Meal (Poor),Common,Services,,0,1 cp,L
Mouse,Common,Animals and Gear,Animals,0,1 cp,
Mug,Common,Adventuring Gear,,0,1 cp,
Oil,Common,Adventuring Gear,,0,1 cp,
Pinwheel,Common,Adventuring Gear,,0,1 cp,
Piton,Common,Adventuring Gear,,0,1 cp,
Sack,Common,Adventuring Gear,,0,1 cp,L
Shuriken,Uncommon,Weapons,Base Weapons,0,1 cp,
Sling Bullets,Common,Weapons,Base Weapons,0,1 cp (price for 10),L
Ten-Foot Pole,Common,Adventuring Gear,,0,1 cp,1
Toll,Common,Services,,0,1 cp,
Torch,Common,Adventuring Gear,,0,1 cp,L
Treats (Standard),Common,Animals and Gear,Animal Caretaking Gear,0,1 cp,
Bedroll,Common,Adventuring Gear,,0,2 cp,L
Beverages (Pot of Coffee or Tea),Common,Services,,0,2 cp,L
Chakri,Uncommon,Weapons,Base Weapons,0,2 cp,
Leather,Common,Trade Goods,,0,2 cp (+ per square yard),
Soap,Common,Adventuring Gear,,0,2 cp,
Stabling,Common,Services,,0,2 cp (per day),
Ball,Common,Adventuring Gear,,0,3 cp,L
Cat,Common,Animals and Gear,Animals,0,3 cp,
Ladder (10 ft.),Common,Adventuring Gear,,0,3 cp,3
Lodging (Floor Space),Common,Services,,0,3 cp (per day),
Meal (Square),Common,Services,,0,3 cp,L
Transportation (Caravan),Common,Services,Transportation,0,3 cp (per 5 miles),
Kite,Common,Adventuring Gear,,0,4 cp,
Transportation (Ferry or Riverboat),Common,Services,Transportation,0,4 cp (per 5 miles),
Bandalore,Common,Adventuring Gear,,0,5 cp,
Blowgun Darts,Common,Weapons,Base Weapons,0,5 cp (price for 10),L
Flint and Steel,Common,Adventuring Gear,,0,5 cp,
Mask (Ordinary),Common,Adventuring Gear,,0,5 cp,
Waterskin,Common,Adventuring Gear,,0,5 cp,L
Transportation (Sailing Ship),Common,Services,Transportation,0,6 cp (per 5 miles),
Signal Whistle,Common,Adventuring Gear,,0,8 cp,
